"team_name","Attacking_Events","Percentage"
"Manchester City",28420,8.3
"Arsenal",23506,6.87
"Liverpool",23067,6.74
"Tottenham Hotspur",21835,6.38
"Chelsea",21255,6.21
"Manchester United",20097,5.87
"Southampton",17253,5.04
"AFC Bournemouth",15947,4.66
"Watford",15525,4.54
"Swansea City",15340,4.48
"Leicester City",15052,4.4
"Huddersfield Town",14671,4.29
"Everton",14600,4.27
"Brighton & Hove Albion",14544,4.25
"West Ham United",14245,4.16
"Crystal Palace",14236,4.16
"Newcastle United",13667,3.99
"Burnley",13406,3.92
"West Bromwich Albion",13103,3.83
"Stoke City",12456,3.64
