"shortName","team_name","role_name","Attacking_Events"
"G. Xhaka","Arsenal","Midfielder",3151
"N. Otamendi","Manchester City","Defender",2995
"K. De Bruyne","Manchester City","Midfielder",2958
"Fernandinho","Manchester City","Midfielder",2891
"Azpilicueta","Chelsea","Defender",2726
"David Silva","Manchester City","Midfielder",2493
"N. Matić","Manchester United","Midfielder",2477
"C. Eriksen","Tottenham Hotspur","Midfielder",2476
"J. Vertonghen","Tottenham Hotspur","Defender",2394
"K. Walker","Manchester City","Defender",2331
"Fàbregas","Chelsea","Midfielder",2242
"A. Doucouré","Watford","Midfielder",2225
"E. Dier","Tottenham Hotspur","Midfielder",2178
"N. Kanté","Chelsea","Midfielder",2126
"J. Henderson","Liverpool","Midfielder",2014
"A. Mooy","Huddersfield Town","Midfielder",2011
"M. Özil","Arsenal","Midfielder",1934
"Bellerín","Arsenal","Defender",1909
"D. Sánchez","Tottenham Hotspur","Defender",1809
"Oriol Romeu","Southampton","Midfielder",1782
